section	offset	size	unit	scope	name	demangled
.text	0x00000000	0x14	em2e/em2e.cpp	local	_prolog	_prolog
.text	0x00000014	0x4	em2e/em2e.cpp	global	_epilog	_epilog
.text	0x00000018	0x4	em2e/em2e.cpp	global	_unresolved	_unresolved
.text	0x0000001C	0x38	em2e/em2e.cpp	global	Em2eInit	Em2eInit
.text	0x00000054	0x1FC	em2e/em2e.cpp	global	em2eDmCk	em2eDmCk
.text	0x00000250	0xA8	em2e/em2e.cpp	global	cEm2e_move	cEm2e::move
.text	0x000002F8	0x30C	em2e/em2e.cpp	local	em2e_R0_Init	em2e_R0_Init
.text	0x00000604	0x38	em2e/em2e.cpp	local	em2e_R0_Move	em2e_R0_Move
.text	0x0000063C	0x108	em2e/em2e.cpp	local	em2e_R1_Wait	em2e_R1_Wait
.text	0x00000744	0x158	em2e/em2e.cpp	local	em2e_R1_Walk	em2e_R1_Walk
.text	0x0000089C	0x154	em2e/em2e.cpp	local	em2e_R1_Turn	em2e_R1_Turn
.text	0x000009F0	0xD0	em2e/em2e.cpp	local	em2e_R1_W_Wait	em2e_R1_W_Wait
.text	0x00000AC0	0x118	em2e/em2e.cpp	local	em2e_R1_W_Walk	em2e_R1_W_Walk
.text	0x00000BD8	0x10C	em2e/em2e.cpp	local	em2e_R1_W_Turn	em2e_R1_W_Turn
.text	0x00000CE4	0x38	em2e/em2e.cpp	local	em2e_R0_Damage	em2e_R0_Damage
.text	0x00000D1C	0x38	em2e/em2e.cpp	local	em2e_R0_Die	em2e_R0_Die
.text	0x00000D54	0x38	em2e/em2e.cpp	local	em2e_R1_Die_Normal	em2e_R1_Die_Normal
.text	0x00000D8C	0xD4	em2e/em2e.cpp	global	em2eFootMove	em2eFootMove
.text	0x00000E60	0x1F4	em2e/em2e.cpp	global	em2eSetWallMatrix	em2eSetWallMatrix
.text	0x00001054	0x4	em2e/em2e.cpp	global	cUnit_beginEvent	cUnit::beginEvent
.text	0x00001058	0x4	em2e/em2e.cpp	global	cUnit_endEvent	cUnit::endEvent
.text	0x0000105C	0x20	em2e/em2e.cpp	global	cEm2e_dt_cEm2e	cEm2e::~cEm2e
.text	0x0000107C	0x48	em2e/em2e.cpp	global	cUnit_dt_cUnit	cUnit::~cUnit
.text	0x000010C4	0x4	em2e/em2e.cpp	global	cUnit_op_delete	cUnit::operator delete
.rodata	0x00000068	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_68	lbl_em2e_rodata_68
.rodata	0x0000006C	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_6C	lbl_em2e_rodata_6C
.rodata	0x00000070	0x1C	em2e/em2e.cpp	local	lbl_em2e_rodata_70	lbl_em2e_rodata_70
.rodata	0x0000008C	0x1C	em2e/em2e.cpp	local	lbl_em2e_rodata_8C	lbl_em2e_rodata_8C
.rodata	0x000000A8	0xC	em2e/em2e.cpp	local	lbl_em2e_rodata_A8	lbl_em2e_rodata_A8
.rodata	0x000000B4	0xC	em2e/em2e.cpp	local	lbl_em2e_rodata_B4	lbl_em2e_rodata_B4
.rodata	0x000000C0	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_C0	lbl_em2e_rodata_C0
.rodata	0x000000C4	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_C4	lbl_em2e_rodata_C4
.rodata	0x000000C8	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_C8	lbl_em2e_rodata_C8
.rodata	0x000000CC	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_CC	lbl_em2e_rodata_CC
.rodata	0x000000D0	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_D0	lbl_em2e_rodata_D0
.rodata	0x000000D4	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_D4	lbl_em2e_rodata_D4
.rodata	0x000000D8	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_D8	lbl_em2e_rodata_D8
.rodata	0x000000DC	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_DC	lbl_em2e_rodata_DC
.rodata	0x000000E0	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_E0	lbl_em2e_rodata_E0
.rodata	0x000000E4	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_E4	lbl_em2e_rodata_E4
.rodata	0x000000E8	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_E8	lbl_em2e_rodata_E8
.rodata	0x000000EC	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_EC	lbl_em2e_rodata_EC
.rodata	0x000000F0	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_F0	lbl_em2e_rodata_F0
.rodata	0x000000F4	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_F4	lbl_em2e_rodata_F4
.rodata	0x000000F8	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_F8	lbl_em2e_rodata_F8
.rodata	0x000000FC	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_FC	lbl_em2e_rodata_FC
.rodata	0x00000100	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_100	lbl_em2e_rodata_100
.rodata	0x00000104	0x18	em2e/em2e.cpp	local	lbl_em2e_rodata_104	lbl_em2e_rodata_104
.rodata	0x0000011C	0x18	em2e/em2e.cpp	local	lbl_em2e_rodata_11C	lbl_em2e_rodata_11C
.rodata	0x00000134	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_134	lbl_em2e_rodata_134
.rodata	0x00000138	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_138	lbl_em2e_rodata_138
.rodata	0x0000013C	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_13C	lbl_em2e_rodata_13C
.rodata	0x00000140	0x4	em2e/em2e.cpp	local	lbl_em2e_rodata_140	lbl_em2e_rodata_140
.rodata	0x00000144	0xD4	em2e/em2e.cpp	local	lbl_em2e_rodata_144	lbl_em2e_rodata_144
.rodata	0x00000218	0x58	em2e/em2e.cpp	global	lbl_em2e_rodata_218	lbl_em2e_rodata_218
.rodata	0x00000270	0x28	em2e/em2e.cpp	global	lbl_em2e_rodata_270	lbl_em2e_rodata_270
.data	0x00000000	0x14	em2e/em2e.cpp	global	lbl_em2e_data_0	lbl_em2e_data_0
.data	0x00000014	0x18	em2e/em2e.cpp	local	lbl_em2e_data_14	lbl_em2e_data_14
.data	0x0000002C	0x4	em2e/em2e.cpp	local	lbl_em2e_data_2C	lbl_em2e_data_2C
